"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Cao F.; Jian Y.","Cao, FeiFei (58250764900); Jian, Yirong (58521211600)","58250764900; 58521211600","The Role of integrating AI and VR in fostering environmental awareness and enhancing activism among college students","2024","Science of the Total Environment","908","","168200","","","","0","10.1016/j.scitotenv.2023.168200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176325746&doi=10.1016%2fj.scitotenv.2023.168200&partnerID=40&md5=f2cf145ebfe9afb0851b475583d35fd8","Given the increasing concern about the destructive impact of sympathetic activities on the Earth, involving the next generation in environmental conservation is crucial. Therefore, this study aims to explore how artificial intelligence (AI) and virtual reality (VR) can strengthen college students' environmental awareness and encourage them to make a move on environmental issues. Four hundred college students from diverse socioeconomic backgrounds participated in a six-month study, and 375 valid questionnaires were successfully collected. By combining AI and VR, we provided interactive and engaging courses to deliver knowledge about environmental issues and inevitable disasters. The research demonstrates that using AI and VR technologies to teach environmental challenges can significantly improve college students' understanding of these topics, assist them in developing a conservationist value system, and provoke them to carry on environmental advocacy. This study adopted scale items to measure college students' environmental awareness and activities. More isolated structural equation modeling validated the value of AI and VR in environmental education. Additionally, mediation and moderation analyses indicated that the strength of college students' ecological susceptibility and motivation indirectly influenced their enthusiasm and environmental awareness through AI and VR. Through comparative analysis, we found that AI and VR exert differential effects on college students. Further correlational and regression analyses demonstrated that raising college students' environmental awareness can effectively promote their pro-environmental behavior, offering them more critical agency, possibly without the need for continued use of AI and VR. Therefore, employing AI and VR in environmental education may effectively help young people in ecological sustainability. Ultimately, we discussed the current AI and VR technologies adoption in Chinese universities and proposed relevant policy implications. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85176325746"
"Guerra A.R.; de Medeiros L.F.; Gericota M.","Guerra, André Roberto (58698172200); de Medeiros, Luciano Frontino (56728116100); Gericota, Manuel (6507379400)","58698172200; 56728116100; 6507379400","A Review of Immersivity in Distance Higher Education STEM Subjects","2024","Communications in Computer and Information Science","1904 CCIS","","","543","550","7","0","10.1007/978-3-031-47328-9_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176920138&doi=10.1007%2f978-3-031-47328-9_39&partnerID=40&md5=7b9ff9d158af836abb67986c50b98ab8","Immersive augmented reality, in practical terms, is a real-time, immersive processing experience which bind together elements of real life with the images presented. The study is a systematic literature review that aims to analyze the main methods and projects for the development of virtual learning environments (VLEs), especially in STEM disciplines, with immersive scenarios in the field of distance higher education. The analyzed scientific productions underwent revision on the search strings, which presented a high growth in the application of Virtual Reality, Augmented Reality, Mixed Reality and Extended Reality in education. The studies revealed that the use of Immersive Augmented Reality in education is able to increase students’ motivation and interest in studies, mainly due to the teaching and learning environment becoming more dynamic. Additionally, it enables students in the immersive environment to interact and achieve effective learning. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176920138"
"Mohanty P.P.; Munir A.","Mohanty, Patita Paban (57190229056); Munir, Arslan (24587067400)","57190229056; 24587067400","CONTACTLESS SERVICE IN POSTCOVID-19: AN INSIGHT FROM THE HOSPITALITY INDUSTRY","2024","Post-Covid Tourism And Hospitality Dynamics: Recovery, Revival, and Re-Start","","","","381","400","19","0","10.1201/9781003429722-22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176825539&doi=10.1201%2f9781003429722-22&partnerID=40&md5=4020e33b2699b9b478ac0e135caaf09b","The recent pandemic of COVID-19 has created havoc and catastrophic circumstances in every nook and corner of the universe. This pandemic has engulfed “man, machine, and material” and paralyzed them for an indefinite time. Furthermore, the pandemic has resulted in an uncertainty in the operation and management of industries relying on “man, machine, and material.” Though the past reflection of the hospitality industry has been termed as the “sunshine” industry, the COVID-19 pandemic has turned it entirely into a “state of cloudiness.” This people-intensive still embrace its patrons with folded hands inspired by the true essence and value of hospitality, but with a new design and protocol triggered by various technological innovations. To mitigate the spread of this deadly disease, “social distancing” has been the new norm of the hospitality business and its existence heavily depends on the mantra of “contactless” and “touchless.” There is no exception to the hospitality industry, where contactless and touchless operations have been the new standard operating procedures (SOPs). Although these SOPs for the hospitality industry may seem to be “gloomy” and “spiritless,” but for the sake of the bread and butter of employees and the safety of guests and employees, these are essential and bare needs of this hour. It is therefore 382imperative that hotels embrace a proactive approach to this paradigm change for sustainability in the post-COVID-19 period. This may focus on assimilating various technological and digital approaches, such as artificial intelligence, big data analytics, the Internet of things, 5G network, augmented reality, virtual reality, and robotics for fulfilling the guest service delivery and experience through contactless hospitality. © 2024 by Apple Academic Press, Inc.","Book chapter","Final","","Scopus","2-s2.0-85176825539"
"Bakhtiari V.; Piadeh F.; Chen A.S.; Behzadian K.","Bakhtiari, Vahid (58569963800); Piadeh, Farzad (56289226200); Chen, Albert S. (57193002441); Behzadian, Kourosh (23972596800)","58569963800; 56289226200; 57193002441; 23972596800","Stakeholder analysis in the application of cutting-edge digital visualisation technologies for urban flood risk management: A critical review","2024","Expert Systems with Applications","236","","121426","","","","1","10.1016/j.eswa.2023.121426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170424706&doi=10.1016%2fj.eswa.2023.121426&partnerID=40&md5=5100b36f0bac406f4d00aabbf7f4ae16","Cutting-edge flood visualisation technologies are becoming increasingly important in managing urban flood risks, particularly from the perspective of stakeholders who play a crucial role in controlling and reducing the risks associated with flood events. This review study provides a comprehensive overview of stakeholder analysis in this context, highlighting gaps in current research and paving the way for future investigations. For this purpose, scientific literature and critical analysis are conducted based on identified relevant research works to map the mutual role of stakeholders in this context. This study categorises cutting-edge technologies into four groups - virtual reality, augmented reality, mixed reality, and digital twin - and explores their adoption in engaging various stakeholders across the five key stages of risk management: prevention, mitigation, preparation, response, and recovery. Results show that existing research has primarily concentrated on the support to water utilities and the communication with the general public. However, there is a noticeable gap in research regarding the comprehensive engagement of important stakeholders such as policy-makers, researchers, and insurance providers. Furthermore, the study highlights disparities in the involvement of stakeholders in damage assessment studies, particularly with a lack of representation from policy-makers and researchers. Finally, the study introduces the concept of overlooked key stakeholders and the interconnected impacts they have, which has received relatively little attention in previous research. © 2023 The Authors","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85170424706"
"Hu-Au E.; Addla P.; Harinarayanan J.; Wei Z.; Wu C.; Liu Z.Y.; Danoff M.","Hu-Au, Elliot (57195854961); Addla, Pooja (58698727400); Harinarayanan, Janani (58698863100); Wei, Zhanlan (58698193700); Wu, Chuhe (58697918900); Liu, Zoey Yichen (58698193800); Danoff, Mara (58698193900)","57195854961; 58698727400; 58698863100; 58698193700; 58697918900; 58698193800; 58698193900","Novel Behaviors of Youth in a Virtual Reality Chemistry Lab","2024","Communications in Computer and Information Science","1904 CCIS","","","313","329","16","0","10.1007/978-3-031-47328-9_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176911019&doi=10.1007%2f978-3-031-47328-9_24&partnerID=40&md5=c20ccaa5d482850fc968f303e5fb88d6","Virtual reality’s (VR) unique affordances of enabling risk-free and exploratory behaviors [1] pose an unknown variable in its use as a learning environment for science education. In VR science laboratory simulations, do students follow typical safety and behavior norms or do they engage largely in “non-lesson related” behaviors [2]? In addition, VR is touted for increasing student interest and motivation in subjects but how exactly does this happen in these environments? We observed seventy-six 11–18 yr.-olds (N = 76) conduct a chemistry experiment in a VR lab simulation. Observations focused on lab safety behaviors and behaviors typically not exhibited in real-life situations (novel). Results showed that &gt; 75% of students still follow basic safety rules but only 49% conducted cleaning behaviors in VR. Novel behaviors were observed in 51% of the participants. Behaviors most observed were moving around the room with no obvious intent, throwing objects or breaking glassware, and playing with lab equipment. We argue that the existence of these behaviors can be viewed as students expressing their curiosities, an important step in encouraging STEM pursuits. The freedom to engage in this behavior is a clue to the motivational affordances VR can provide. Positive responses were confirmed through individual debrief interviews with the participants. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176911019"
"Zhu J.; Li H.; Zhang T.","Zhu, Jun (57572641000); Li, Hongyi (57744608900); Zhang, Tao (57307238800)","57572641000; 57744608900; 57307238800","Camera, LiDAR, and IMU Based Multi-Sensor Fusion SLAM: A Survey","2024","Tsinghua Science and Technology","29","2","","415","429","14","0","10.26599/TST.2023.9010010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174360564&doi=10.26599%2fTST.2023.9010010&partnerID=40&md5=70088412eda1f0666cfc975cba54d69a","In recent years, Simultaneous Localization And Mapping (SLAM) technology has prevailed in a wide range of applications, such as autonomous driving, intelligent robots, Augmented Reality (AR), and Virtual Reality (VR). Multi-sensor fusion using the most popular three types of sensors (e.g., visual sensor, LiDAR sensor, and IMU) is becoming ubiquitous in SLAM, in part because of the complementary sensing capabilities and the inevitable shortages (e.g., low precision and long-term drift) of the stand-alone sensor in challenging environments. In this article, we survey thoroughly the research efforts taken in this field and strive to provide a concise but complete review of the related work. Firstly, a brief introduction of the state estimator formation in SLAM is presented. Secondly, the state-of-the-art algorithms of different multi-sensor fusion algorithms are given. Then we analyze the deficiencies associated with the reviewed approaches and formulate some future research considerations. This paper can be considered as a brief guide to newcomers and a comprehensive reference for experienced researchers and engineers to explore new interesting orientations. © 1996-2012 Tsinghua University Press.","Article","Final","","Scopus","2-s2.0-85174360564"
"Kong W.; You Z.; Lyu S.; Lv X.","Kong, Weiyi (58024637600); You, Zhisheng (55484583500); Lyu, Shiyang (58687400600); Lv, Xuebin (14826728900)","58024637600; 55484583500; 58687400600; 14826728900","Multi-dimensional stereo face reconstruction for psychological assistant diagnosis in medical meta-universe","2024","Information Sciences","654","","119831","","","","0","10.1016/j.ins.2023.119831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176264707&doi=10.1016%2fj.ins.2023.119831&partnerID=40&md5=d651482509559fa135a54ba9f1088664","Virtual reality/augmented reality (VR/AR) technology is very important for meta-cosmic medicine. It is the technical link between the material world and the virtual world. The realization of face-to-face psychological diagnosis with three-dimensional holography is a difficult problem in meta-cosmic medicine. Because psychological diagnosis needs to observe rapidly changing microexpressions, it is difficult to capture them. At present, most of the research is based on two dimensions, which cannot meet the real-time reconstruction requirements of meta-universe medicine. To solve these problems, this paper introduces a 3D facial reconstruction algorithm composed of multiresolution feature fusion and attention mechanisms. It can be used for psychological assistant diagnosis of meta-cosmic medicine. First, face alignment and 3D coordinate construction of the feature point cloud are carried out through a 3D convolution coding network. After that, multiresolution cost convolution is used to extract and match the color, facial bones, and depth features of texture images. Finally, the transposed three-dimensional convolution is used to decode and output. To achieve the real-time reconstruction of psychotherapy, we designed a three-dimensional channel attention mechanism module for acceleration. This makes this method suitable for the construction of virtual doctors and virtual patients in the virtual platform of the medical universe of psychological medicine and can also complete the construction of the virtual teaching platform of the medical universe. © 2023 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85176264707"
"Mystakidis S.; Theologi-Gouti P.; Iliopoulos I.","Mystakidis, Stylianos (55547222700); Theologi-Gouti, Peny (58698602800); Iliopoulos, Ioannis (7003372231)","55547222700; 58698602800; 7003372231","STEAM Project Exhibition in the Metaverse for Deaf High School Students’ Affective Empowerment: The Power of Student Museum Exhibitions in Social Virtual Reality","2024","Communications in Computer and Information Science","1904 CCIS","","","239","249","10","0","10.1007/978-3-031-47328-9_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176920146&doi=10.1007%2f978-3-031-47328-9_18&partnerID=40&md5=111c51149e8594bff959d05f64f9b349","The Metaverse is the three-dimensional iteration of the Internet, a perpetual open web of persistent, networked environments merging physical reality with digital virtuality. Science Technology Engineering Art Mathematics (STEAM) education bridges two knowledge domains often perceived as disjointed: science and technology with art, humanities and social studies. This paper presents the design and development of a multi-school transdisciplinary STEAM project orchestrated by the University of Patras Science and Technology Museum. The deliverables of the project were analog and digital artifacts produced by K-12 primary and secondary school students on digital literacy and future citizenship. These were presented in an innovative virtual reality exhibition that was open and accessible in a web-based 3D online environment. The study employs an exploratory case study design involving deaf high school students and teachers. Data was collected from observation and semi-structured interviews. Results showed that the exhibition of deaf student creations in a multiuser platform in the Metaverse produced a series of social ripple effects around the students themselves, school peers, with and without hearing difficulties as well as educators. Its main contribution is the practical demonstration of the social affordances of the Metaverse in educational projects for children and adolescents with hearing disabilities. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176920146"
"Voigt L.; Hill Y.; Frenkel M.O.","Voigt, Laura (57428562200); Hill, Yannick (57200306879); Frenkel, Marie Ottilie (55079978200)","57428562200; 57200306879; 55079978200","Testing the hormesis hypothesis on motor behavior under stress","2024","Applied Ergonomics","115","","104161","","","","0","10.1016/j.apergo.2023.104161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175582295&doi=10.1016%2fj.apergo.2023.104161&partnerID=40&md5=921d9a1e145352d3fa00ea3bf492f2d2","While much research has focused on the deleterious effects of stress on goal-directed behavior in recent decades, current views increasingly discuss growth under stress, often assuming dose-dependent effects of stress in a curvilinear association. This is based on the concept of hormesis, which postulates a strengthening effect of stress at low-to-moderate doses. Leveraging this approach, hormetic curves indicate under which stress dose an individual is able to maintain or even increase goal-directed behavior. The present study aimed to test the hormetic effect of low-to-moderate stress on tactical movement performance in the context of police operational scenarios in virtual reality. In teams of three to four, 37 riot police officers had to search a building for a potentially aggressive perpetrator in three scenarios with escalating stress potential (i.e., increasing weapon violence and number of civilians). Tactical movement performance as behavioral response was quantified by the sample entropy of each officer's velocity derived from positional data. To account for inter-individuality in response to the scenarios, we assessed self-reported stress, anxiety, mental effort, and vagally mediated heart rate variability. Specifically, we tested the quadratic associations between tactical movement performance and stress parameters, respectively. Random-intercept-random-slope regressions revealed neither significant linear nor quadratic associations between any of the stress parameters and performance. While we did not find evidence for hormesis in the present study, it stimulates theoretical discussions about the definition of “baseline” functioning and how the understanding of hormesis can move from psychological to behavioral adaptations to stressors. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85175582295"
"Lu J.; Schmidt M.","Lu, Jie (57947422900); Schmidt, Matthew (55267409100)","57947422900; 55267409100","Exploring the Needs and Preferences of Autistic Users in Extended Reality: A Participatory and Human-Centered Approach","2024","Communications in Computer and Information Science","1904 CCIS","","","138","149","11","0","10.1007/978-3-031-47328-9_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176924587&doi=10.1007%2f978-3-031-47328-9_10&partnerID=40&md5=ac7ecf020bc5463f360cc698e0f9e97b","Virtual reality (VR) has been widely applied as a promising technology for individuals with autism spectrum disorder (ASD). However, most studies in the literature have been conducted by researchers who are not disabled or autistic, resulting in products that are less user-centered. To address this issue, Project PHoENIX is initiated to gather information from stakeholders, including autistic people, caregivers, and parents, about their needs and preferences when using VR. Throughout the development cycle, a variety of user-centered learning experience design methods and process were employed. To assess the usability and user experience of Project PHoENIX, a formative evaluation with multiple usability sessions was conducted across two phases: Phase I Usability Testing and Phase II Pilot Testing. In this paper, we present the co-design process of Project PHoENIX with autistic stakeholders, followed by the results of a formative evaluation on the VR environments in Project PHoENIX. Multiple usability evaluation methods were utilized in both phases. The quantitative and qualitative findings suggest that utilizing co-design and user experience design methods, Project PHoENIX was designed using an innovative approach and is perceived as a highly usable, relevant, and satisfying VR technology, with the potential to scale to serve a broader community of individuals with autism. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85176924587"
